document,domain,method,context,planned_KL_tokens,planned_NLL_tokens,KL,NLL,late_KL,KL_sum,NLL_sum,status,reason,late_KL_sum,late_tokens,KL_p99,KL_top_one_percent_mean,KL_max,KL_min,quantized_layers,finite_forward_completion,NLL_status,unavailable_native_KL_tokens
r2_technical_prose_multiprocessing,technical_prose,R2_DIAG,1024,1008,1007,0.050709393937023464,1.7561323699648823,0.09096145073215621,51.115069088519654,1768.4252965546366,COMPLETE_WINDOW,,46.57226277486398,512,0.6365402136406696,1.7116035175893396,4.26495158974868,1.4579190253978776e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_multiprocessing,technical_prose,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.12430153824499617,1.8320167573893902,0.2291126998572493,125.29595055095614,1844.840874691116,COMPLETE_WINDOW,,117.30570232691164,512,2.2254791691270137,3.2107048526221904,6.085398726416598,4.677932419646414e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__arraysetops_impl,python_code,NATIVE,1024,1008,1007,0.0,1.264067393268065,0.0,0.0,1272.9158650209415,COMPLETE_WINDOW,,0.0,512,0.0,0.0,0.0,0.0,[],COMPLETE,COMPLETE_WINDOW,0
r2_python_code__arraysetops_impl,python_code,LEGACY_DIAG,1024,1008,1007,0.0043573258120705146,1.2704711181007975,0.005949694010564147,4.392184418567079,1279.3644159275032,COMPLETE_WINDOW,,3.0462433334088432,512,0.03827323193067004,0.06564510442249269,0.15834785929669087,9.400181586280072e-08,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__arraysetops_impl,python_code,R2_MATCHED_ENERGY,1024,1008,1007,0.18872426872888276,1.424251785143404,0.3548468784976875,190.23406287871381,1434.2215476394078,COMPLETE_WINDOW,,181.681601790816,512,2.720722709004417,3.9473532060276004,6.060325732674143,1.5262281526217241e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__arraysetops_impl,python_code,R2_DIAG,1024,1008,1007,0.08072184059730794,1.3372320436016367,0.15287863998535905,81.36761532208641,1346.5926679068482,COMPLETE_WINDOW,,78.27386367250384,512,1.69058923080788,3.003622911685141,4.867563844453024,2.0702349316190794e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__arraysetops_impl,python_code,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.16990885823024612,1.4233799667551303,0.3207109154132198,171.2681290960881,1433.3436265224163,COMPLETE_WINDOW,,164.20398869156853,512,2.805637758270595,3.90786467527648,5.806761941789273,1.5666964655572577e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_asyncio_task,technical_prose,NATIVE,1024,1008,1007,0.0,1.3330441960433974,0.0,0.0,1342.3755054157011,COMPLETE_WINDOW,,0.0,512,0.0,0.0,0.0,0.0,[],COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_asyncio_task,technical_prose,LEGACY_DIAG,1024,1008,1007,0.004035296161720368,1.3334235636986569,0.004812749287227371,4.067578531014131,1342.7575286445474,COMPLETE_WINDOW,,2.464127635060414,512,0.029671747170244185,0.04443074199408601,0.07857161864871166,6.494231675712364e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_asyncio_task,technical_prose,R2_MATCHED_ENERGY,1024,1008,1007,0.14493826460639975,1.4870298337315677,0.2655720299430683,146.09777072325093,1497.4390425676886,COMPLETE_WINDOW,,135.97287933085096,512,2.1521561344408653,3.2184732697238108,5.604051818171599,5.710317061313076e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_asyncio_task,technical_prose,R2_DIAG,1024,1008,1007,0.04361770846031591,1.3762365170318123,0.07900683621899773,43.966650127998435,1385.8701726510349,COMPLETE_WINDOW,,40.45150014412684,512,0.5833719757146429,0.9043777961857036,1.5554504094253239,2.189995889184396e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_asyncio_task,technical_prose,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.1207975714334892,1.4588600478835319,0.22176363281355033,121.7639520049571,1469.0720682187166,COMPLETE_WINDOW,,113.54298000053777,512,1.8002922316239371,2.5713187134057427,3.4113311845544287,1.6976786085588522e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__nanfunctions_impl,python_code,NATIVE,1024,1008,1007,0.0,1.2076212010037515,0.0,0.0,1216.0745494107778,COMPLETE_WINDOW,,0.0,512,0.0,0.0,0.0,0.0,[],COMPLETE,COMPLETE_WINDOW,0
r2_python_code__nanfunctions_impl,python_code,LEGACY_DIAG,1024,1008,1007,0.0033220048813946894,1.2098016184801084,0.004478504419482493,3.3485809204458468,1218.2702298094691,COMPLETE_WINDOW,,2.2929942627750366,512,0.021705464710940963,0.035996825877931314,0.06517703182840708,3.60933619209727e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__nanfunctions_impl,python_code,R2_MATCHED_ENERGY,1024,1008,1007,0.15840235188593285,1.3505015209580546,0.29306033957100447,159.66957070102032,1359.955031604761,COMPLETE_WINDOW,,150.0468938603543,512,2.363735725219784,3.1340640812744778,3.9538145828372104,5.810651606174763e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__nanfunctions_impl,python_code,R2_DIAG,1024,1008,1007,0.0669632589305109,1.2647267775959508,0.12390889967126016,67.49896500195499,1273.5798650391225,COMPLETE_WINDOW,,63.4413566316852,512,1.213239287715514,1.9785103519971086,3.5697208515444854,2.896804536221188e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__nanfunctions_impl,python_code,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.16058809326628845,1.3530220967927844,0.29533366996196453,161.87279801241877,1362.493251470334,COMPLETE_WINDOW,,151.21083902052584,512,2.3951162087232283,3.0441332074427,4.128835322895202,5.831808495292618e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__function_base_impl,python_code,NATIVE,1024,1008,1007,0.0,1.878836064940491,0.0,0.0,1891.9879173950744,COMPLETE_WINDOW,,0.0,512,0.0,0.0,0.0,0.0,[],COMPLETE,COMPLETE_WINDOW,0
r2_python_code__function_base_impl,python_code,LEGACY_DIAG,1024,1008,1007,0.004429553599382172,1.8761633176153028,0.005963086610329879,4.464990028177229,1889.2964608386098,COMPLETE_WINDOW,,3.053100344488898,512,0.03481615511731652,0.05456433058021936,0.08407208034273593,2.303072893949128e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__function_base_impl,python_code,R2_MATCHED_ENERGY,1024,1008,1007,0.2144676102780207,2.0806171420848067,0.397474260487155,216.18335116024485,2095.1814620794003,COMPLETE_WINDOW,,203.50682136942336,512,3.9936413666125405,4.729256548476065,7.086363369083208,4.788174940649471e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__function_base_impl,python_code,R2_DIAG,1024,1008,1007,0.10464999118033817,1.9902364844136464,0.19478895202387586,105.48719110978088,2004.1681398045419,COMPLETE_WINDOW,,99.73194343622444,512,2.3841556676142193,3.3972127838121806,6.015554626388548,2.2460595125101223e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__function_base_impl,python_code,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.20493456782596492,2.068659990606521,0.37969752683729907,206.57404436857263,2083.140610540767,COMPLETE_WINDOW,,194.40513374069712,512,3.88049541330574,4.541853410113663,6.436436987355931,3.925561276941469e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_typing,technical_prose,NATIVE,1024,1008,1007,0.0,1.7986325506034697,0.0,0.0,1811.222978457694,COMPLETE_WINDOW,,0.0,512,0.0,0.0,0.0,0.0,[],COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_typing,technical_prose,LEGACY_DIAG,1024,1008,1007,0.003985217220915934,1.8003187384811246,0.004689997031858292,4.0170989586832615,1812.9209696504925,COMPLETE_WINDOW,,2.4012784803114453,512,0.025276420660962428,0.045783996193027705,0.14979854889792923,5.600178940226198e-08,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_typing,technical_prose,R2_MATCHED_ENERGY,1024,1008,1007,0.1700785007461768,1.9570421510846598,0.32112348062958573,171.43912875214622,1970.7414461422525,COMPLETE_WINDOW,,164.4152220823479,512,3.520204903387571,4.495787084779976,6.116934003301701,1.1405423207161915e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_typing,technical_prose,R2_DIAG,1024,1008,1007,0.05734265744704408,1.8428713800381085,0.10589169987570043,57.80139870662043,1855.7714796983753,COMPLETE_WINDOW,,54.21655033635862,512,0.9378859407794886,2.1378819014462325,5.468109808820011,4.542931100643631e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_typing,technical_prose,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.18145557304732088,1.9595287576424176,0.3443501480852666,182.90721763169944,1973.2454589459146,COMPLETE_WINDOW,,176.3072758196565,512,3.502378485147186,4.716388499594905,6.111075664349979,9.137882706568919e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
