document,domain,method,context,planned_KL_tokens,planned_NLL_tokens,KL,NLL,late_KL,KL_sum,NLL_sum,status,reason,late_KL_sum,late_tokens,KL_p99,KL_top_one_percent_mean,KL_max,KL_min,quantized_layers
test_associative_recall_0,associative_recall,NATIVE,512,496,495,0.0,1.249110401987171,0.0,0.0,618.3096489836497,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
test_associative_recall_0,associative_recall,MATCHED_ENERGY,512,496,495,0.0011141306703333698,1.2481080606559964,0.001175176925931096,0.5526088124853514,617.8134900247182,COMPLETE_WINDOW,,0.30084529303836055,256,0.008335910054175825,0.022075771672793235,0.0654098048564158,7.32986979582226e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_associative_recall_0,associative_recall,RTPA_DIAG,512,496,495,0.0007923111415144126,1.249508542489721,0.0008470102019706137,0.39298632619114865,618.5067285324119,COMPLETE_WINDOW,,0.2168346117044771,256,0.003327817627534461,0.018917805204114735,0.078839726654941,5.935673206519788e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_associative_recall_0,associative_recall,DAMP_PAPER_ADAPTED,512,496,495,0.000680816540124083,1.247493075356916,0.0005428128055851219,0.3376850039015452,617.5090723016734,COMPLETE_WINDOW,,0.1389600782297912,256,0.0036894707769713595,0.006275724386398762,0.009028850809791971,1.2397044371862716e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_associative_recall_0,associative_recall,STORED_NEAREST,512,496,495,0.0005930021281417335,1.2491414677985233,0.0005716238415026907,0.2941290555582998,618.3250265602691,COMPLETE_WINDOW,,0.14633570342468882,256,0.0029797367678131184,0.004285995352405758,0.006955812457775934,3.5842126523743366e-08,"[0, 12, 22]"
test_associative_recall_0,associative_recall,FA_CODE_FACTORIZED,512,496,495,0.0005282606095367299,1.2482528534688029,0.0005256843728203559,0.26201726233021805,617.8851624670574,COMPLETE_WINDOW,,0.1345751994420111,256,0.0019532294782371074,0.0026829847561075236,0.004123347358962451,2.2385663691765556e-08,"[0, 12, 22]"
test_associative_recall_1,associative_recall,NATIVE,512,496,495,0.0,1.253195583323499,0.0,0.0,620.331813745132,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
test_associative_recall_1,associative_recall,MATCHED_ENERGY,512,496,495,0.0012491263006081438,1.2539116126685408,0.0009005194360560694,0.6195666451016393,620.6862482709276,COMPLETE_WINDOW,,0.23053297563035377,256,0.01212891965154547,0.016633475850363462,0.024208491204450223,2.3984874030547153e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_associative_recall_1,associative_recall,RTPA_DIAG,512,496,495,0.0008641820743066796,1.2534233387128513,0.0007127566930142489,0.4286343088561131,620.4445526628614,COMPLETE_WINDOW,,0.18246571341164772,256,0.007487412421161274,0.010558499859642736,0.016354624922584216,4.38694916954069e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_associative_recall_1,associative_recall,DAMP_PAPER_ADAPTED,512,496,495,0.0008027156524567567,1.2547936544827352,0.0006533522194822112,0.3981469636185513,621.1228589689539,COMPLETE_WINDOW,,0.16725816818744607,256,0.004606885028276591,0.006088463330659079,0.008334462754568195,7.895729570244987e-08,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
