sequence_id,domain,method,window,mean_KL,sum_KL,mean_NLL,delta_NLL_native,max_KL,p95_KL,p99_KL,n_KL,n_NLL,nonfinite
rtpa_v02_natural_language_confirm3,natural_language,B_DIAG8_P_STORE,late,0.001913109954772214,0.9795122968433737,2.384085352270646,-0.004902845560479818,0.044666331835138295,0.0057522942163180995,0.012725316781976042,512,511,0
rtpa_v02_natural_language_confirm3,natural_language,B_JOINT8_P_STORE,primary,0.0014375402049329753,1.4490405265724389,1.8911792847903262,-0.0015990599053989918,0.04107306191542168,0.004372293409620829,0.01137772325181361,1008,1007,0
rtpa_v02_natural_language_confirm3,natural_language,B_JOINT8_P_STORE,early,0.0009791928810078119,0.48567966897987475,1.3840591581087625,0.0024970129134200825,0.029241211673710174,0.002792047685702918,0.006577514307689555,496,496,0
rtpa_v02_natural_language_confirm3,natural_language,B_JOINT8_P_STORE,late,0.0018815641749854771,0.9633608575925642,2.383413302078106,-0.005574895753019948,0.04107306191542168,0.005524973654201861,0.013318333412115793,512,511,0
rtpa_v02_natural_language_confirm3,natural_language,B_U8_P_PRE,primary,0.0022954906879682243,2.3138546134719706,1.8962209069574225,0.0034425622616973683,0.06901002205508767,0.008512093357765604,0.020761937276836156,1008,1007,0
rtpa_v02_natural_language_confirm3,natural_language,B_U8_P_PRE,early,0.0013584599152297327,0.6737961179539473,1.3826957450829307,0.0011335998875883213,0.04247854707226048,0.0036622119326202704,0.01462266845845228,496,496,0
rtpa_v02_natural_language_confirm3,natural_language,B_U8_P_PRE,late,0.003203239249058639,1.640058495518023,2.3946719447064404,0.005683746875314366,0.06901002205508767,0.012050458269359798,0.02289721977033341,512,511,0
rtpa_v02_natural_language_confirm3,natural_language,B_DAMP8_P_PRE,primary,0.0016549478542574154,1.6681874370914747,1.892539169752497,-0.0002391749432282264,0.06613361040002935,0.005505775085402236,0.01427851781698215,1008,1007,0
rtpa_v02_natural_language_confirm3,natural_language,B_DAMP8_P_PRE,early,0.0010898196707932214,0.540550556713438,1.3846798535193054,0.0031177083239630754,0.06613361040002935,0.0032630105226909055,0.0067482566694460405,496,496,0
rtpa_v02_natural_language_confirm3,natural_language,B_DAMP8_P_PRE,late,0.0022024157819883535,1.1276368803780368,2.3854906782684715,-0.0034975195626545386,0.057823770477284556,0.0073800555528627425,0.014513655858121262,512,511,0
rtpa_v02_natural_language_confirm3,natural_language,B_DIAG8_P_PRE,primary,0.0014998821218740303,1.5118811788490225,1.894435278580443,0.0016569338847178816,0.04518381285605097,0.004422246540189567,0.016039372385774527,1008,1007,0
rtpa_v02_natural_language_confirm3,natural_language,B_DIAG8_P_PRE,early,0.0010413649610001078,0.5165170206560533,1.3852781269291254,0.003715981733783069,0.04518381285605097,0.0028497429702508187,0.012923954809649418,496,496,0
rtpa_v02_natural_language_confirm3,natural_language,B_DIAG8_P_PRE,late,0.0019440706214706427,0.9953641581929691,2.3886465255844613,-0.00034167224666470375,0.03431379643627239,0.005555321778306913,0.020751443422439675,512,511,0
rtpa_v02_natural_language_confirm3,natural_language,B_JOINT8_P_PRE,primary,0.0013227498424326742,1.3333318411721355,1.890640517095861,-0.0021378275998642504,0.05761692631589714,0.0038887201881560793,0.006795992931135184,1008,1007,0
rtpa_v02_natural_language_confirm3,natural_language,B_JOINT8_P_PRE,early,0.0008393867625970956,0.41633583424815945,1.382461009553418,0.0008988643580756239,0.026520088176024408,0.002358883854309397,0.0048149151293760345,496,496,0
rtpa_v02_natural_language_confirm3,natural_language,B_JOINT8_P_PRE,late,0.001791007826023391,0.9169960069239762,2.3839028179589756,-0.005085379872150408,0.05761692631589714,0.0048652722348939,0.007793101887187091,512,511,0
rtpa_v02_code_confirm0,code,NATIVE_REFERENCE,primary,0.0,0.0,1.145673415011286,0.0,0.0,0.0,0.0,1008,1007,0
rtpa_v02_code_confirm0,code,NATIVE_REFERENCE,early,0.0,0.0,1.3059014543273642,0.0,0.0,0.0,0.0,496,496,0
rtpa_v02_code_confirm0,code,NATIVE_REFERENCE,late,0.0,0.0,0.9901487427984195,0.0,0.0,0.0,0.0,512,511,0
rtpa_v02_code_confirm0,code,B_U8_P_STORE,primary,0.0018708537674307765,1.8858205975702227,1.1461302344545932,0.00045681944330722146,0.08721975024249208,0.006175839551127966,0.013342474005836748,1008,1007,0
rtpa_v02_code_confirm0,code,B_U8_P_STORE,early,0.002041926419132172,1.0127955038895575,1.3054542729749765,-0.0004471813523876378,0.08721975024249208,0.006103244007893931,0.012081290589374303,496,496,0
rtpa_v02_code_confirm0,code,B_U8_P_STORE,late,0.001705127136095049,0.873025093680665,0.9914830268105423,0.0013342840121228772,0.04454908153642013,0.006271587265240856,0.01329890907601412,512,511,0
rtpa_v02_code_confirm0,code,B_DAMP8_P_STORE,primary,0.001469125176410241,1.4808781778215232,1.1469181466675888,0.0012447316563028998,0.24188523462787329,0.004683300547595268,0.008912101003975555,1008,1007,0
rtpa_v02_code_confirm0,code,B_DAMP8_P_STORE,early,0.0017669191163053515,0.8763918816874543,1.3052819869833276,-0.0006194673440365062,0.24188523462787329,0.0045733737179395224,0.009981998695237861,496,496,0
