sequence_id,domain,method,window,n_KL,n_NLL,mean_KL,sum_KL,mean_NLL,delta_NLL_vs_native,max_token_KL,p95_token_KL,p99_token_KL,min_token_KL,nonfinite
rtpa_v02_natural_language_confirm3,natural_language,FP16_TARGET3,primary,1008,1007,0.0009910193347243538,0.9989474894021486,1.892565652629604,-0.00021269206612117841,0.059722222110332734,0.002129832945614895,0.006248811558461006,1.2610489405880658e-08,0
rtpa_v02_natural_language_confirm3,natural_language,FP16_TARGET3,early,496,496,0.0010804787076648893,0.535917439001785,1.3817858067002293,0.0002236615048869517,0.059722222110332734,0.0019627880905164824,0.01475006450385505,1.2610489405880658e-08,0
rtpa_v02_natural_language_confirm3,natural_language,FP16_TARGET3,late,512,511,0.00090435556718821,0.46303005040036355,2.3883519610072357,-0.0006362368238903571,0.017667548698348537,0.0023210048677337653,0.005361061975498706,8.310379875500846e-08,0
rtpa_v02_natural_language_confirm3,natural_language,ENERGY_TARGET3,primary,1008,1007,0.009963549845010591,10.043258243770675,1.899655674059454,0.006877329363728757,0.5796199579709878,0.038314279669964896,0.10648904285709855,1.7714207284060196e-06,0
rtpa_v02_natural_language_confirm3,natural_language,ENERGY_TARGET3,early,496,496,0.005259359785973503,2.6086424538428576,1.3897891707457743,0.008227025550431977,0.2559530271119664,0.016750080024500836,0.08152668181938615,1.7714207284060196e-06,0
rtpa_v02_natural_language_confirm3,natural_language,ENERGY_TARGET3,late,512,511,0.014520733964702767,7.4346157899278165,2.394555450269992,0.005567252438865911,0.5796199579709878,0.05208586033143735,0.13645672081475976,2.7669535385784843e-06,0
rtpa_v02_natural_language_confirm3,natural_language,DIAG_TARGET3,primary,1008,1007,0.006279360071434057,6.32959495200553,1.8982511896833387,0.005472844987613579,0.1640507382583672,0.022831928381318506,0.0733550207623178,3.7079677847674304e-07,0
rtpa_v02_natural_language_confirm3,natural_language,DIAG_TARGET3,early,496,496,0.003076073808001224,1.5257326087686074,1.380105237789523,-0.0014569074058192744,0.10008906124875121,0.011638075720804402,0.02497248110270693,3.7079677847674304e-07,0
rtpa_v02_natural_language_confirm3,natural_language,DIAG_TARGET3,late,512,511,0.009382543639134613,4.803862343236922,2.4011873778229327,0.012199179991806641,0.1640507382583672,0.032014473332571035,0.08191781884991327,2.496567294961839e-06,0
rtpa_v02_natural_language_confirm3,natural_language,JOINT_TARGET3,primary,1008,1007,0.0048948326276865755,4.933991288708068,1.8945467024226037,0.0017683577268785555,0.11474498691765107,0.017172601277922944,0.04904201307014292,5.556679863647351e-08,0
rtpa_v02_natural_language_confirm3,natural_language,JOINT_TARGET3,early,496,496,0.0027207190747975266,1.3494766610995734,1.3830021108551753,0.0014399656598329535,0.10319334698358099,0.009309959297415304,0.01885650770944741,5.556679863647351e-08,0
rtpa_v02_natural_language_confirm3,natural_language,JOINT_TARGET3,late,512,511,0.007001005132047841,3.584514627608495,2.3910753079361937,0.00208711010506768,0.11474498691765107,0.02076490942750775,0.06973051251663863,2.492702485393834e-06,0
rtpa_v02_code_confirm0,code,NATIVE_REFERENCE,primary,1008,1007,0.0,0.0,1.145673415011286,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_code_confirm0,code,NATIVE_REFERENCE,early,496,496,0.0,0.0,1.3059014543273642,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_code_confirm0,code,NATIVE_REFERENCE,late,512,511,0.0,0.0,0.9901487427984195,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_code_confirm0,code,Q8_TARGET3,primary,1008,1007,0.010303377495361433,10.385804515324324,1.1591790090772263,0.013505594065940318,0.4630559359278108,0.03446320279486347,0.10787500203770613,1.4195802032198358e-06,0
rtpa_v02_code_confirm0,code,Q8_TARGET3,early,496,496,0.009202846826423545,4.5646120259060785,1.3121226498828247,0.006221195555460524,0.38971059793238966,0.031071471174223687,0.07932579496722356,6.663952986010833e-06,0
rtpa_v02_code_confirm0,code,Q8_TARGET3,late,512,511,0.011369516580895012,5.821192489418245,1.0107249076299136,0.02057616483149416,0.4630559359278108,0.03611352067864257,0.11874994945377802,1.4195802032198358e-06,0
rtpa_v02_code_confirm0,code,FP16_TARGET3,primary,1008,1007,0.000757169820293196,0.7632271788555417,1.1460093748879814,0.00033595987669543526,0.0669049701157127,0.002340976517918751,0.004579837461652406,1.7695217088991737e-08,0
rtpa_v02_code_confirm0,code,FP16_TARGET3,early,496,496,0.0007342558847031587,0.3641909188127667,1.3036038714362652,-0.002297582891098937,0.008256193607840773,0.002456565657512389,0.004367209290877052,2.5075126389442944e-08,0
rtpa_v02_code_confirm0,code,FP16_TARGET3,late,512,511,0.0007793676953960449,0.399036260042775,0.9930409398822109,0.0028921970837914035,0.0669049701157127,0.002220838073483877,0.004697847070886678,1.7695217088991737e-08,0
rtpa_v02_code_confirm0,code,ENERGY_TARGET3,primary,1008,1007,0.0067139396683477005,6.767651185694482,1.1557553544902193,0.010081939478933322,0.2373755729324138,0.02206531180404749,0.07951143343974765,3.72024524684925e-07,0
rtpa_v02_code_confirm0,code,ENERGY_TARGET3,early,496,496,0.006760575612634844,3.3532455038668822,1.3093854945645433,0.0034840402371791868,0.2373755729324138,0.019807483028071844,0.06212040426570338,4.301158357061498e-06,0
rtpa_v02_code_confirm0,code,ENERGY_TARGET3,late,512,511,0.006668761097319531,3.4144056818275996,1.00663490541612,0.01648616261770064,0.12160721844230328,0.024684342069722084,0.08168748395516456,3.72024524684925e-07,0
rtpa_v02_code_confirm0,code,DIAG_TARGET3,primary,1008,1007,0.005597385601107462,5.642164685916321,1.1500528312640397,0.004379416252753732,0.20419602772678705,0.020845997478608005,0.048785001000414344,1.4231292128616888e-07,0
rtpa_v02_code_confirm0,code,DIAG_TARGET3,early,496,496,0.005522315280214464,2.739068378986374,1.3010936142696765,-0.00480784005768764,0.1535984751976507,0.019705262754526824,0.05427981244481495,3.5739649798598887e-07,0
rtpa_v02_code_confirm0,code,DIAG_TARGET3,late,512,511,0.005670109974472553,2.903096306929948,1.003445730734107,0.013296987935687454,0.20419602772678705,0.021276164902429406,0.04799983827465317,1.4231292128616888e-07,0
rtpa_v02_code_confirm0,code,JOINT_TARGET3,primary,1008,1007,0.0051662363184861015,5.20756620903399,1.1510800085187411,0.005406593507455204,0.7825053241718161,0.01679370647665814,0.03489271789009923,5.522656113499721e-07,0
rtpa_v02_code_confirm0,code,JOINT_TARGET3,early,496,496,0.004519442016216561,2.2416432400434148,1.306345435389444,0.00044398106207976795,0.19051299499691238,0.015879138165361024,0.029572769810003785,8.480441382707126e-07,0
rtpa_v02_code_confirm0,code,JOINT_TARGET3,late,512,511,0.005792818298809717,2.9659229689905753,1.0003722751961022,0.0102235323976827,0.7825053241718161,0.018383894369846124,0.03955050032575275,5.522656113499721e-07,0
rtpa_v02_code_confirm1,code,NATIVE_REFERENCE,primary,1008,1007,0.0,0.0,1.4170182806709368,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_code_confirm1,code,NATIVE_REFERENCE,early,496,496,0.0,0.0,1.8366842021946708,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_code_confirm1,code,NATIVE_REFERENCE,late,512,511,0.0,0.0,1.009671319661598,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_code_confirm1,code,Q8_TARGET3,primary,1008,1007,0.010931036011961015,11.018484300056704,1.4273963875572186,0.010378106886281824,0.37073890481335164,0.036510970603236645,0.08861111680226025,1.1157798850159926e-07,0
rtpa_v02_code_confirm1,code,Q8_TARGET3,early,496,496,0.013785475163147636,6.837595680921227,1.8368916012834144,0.00020739908874367607,0.37073890481335164,0.04025530962281486,0.11580578216763228,3.7308577103609634e-06,0
rtpa_v02_code_confirm1,code,Q8_TARGET3,late,512,511,0.008165798084248978,4.180888619135477,1.0299215812789542,0.020250261617356102,0.18409047375579174,0.031669876146443905,0.06373419006529138,1.1157798850159926e-07,0
rtpa_v02_code_confirm1,code,FP16_TARGET3,primary,1008,1007,0.0007443707319605485,0.7503256978162329,1.4160493932838312,-0.0009688873871056547,0.007703842600271821,0.002317960419151651,0.00457297717733427,2.1910278190414878e-08,0
rtpa_v02_code_confirm1,code,FP16_TARGET3,early,496,496,0.0008646724161462266,0.42887751840852845,1.8344058373033052,-0.0022783648913655696,0.006691816110789877,0.0024859459117942836,0.004329358355900661,2.198170179212068e-07,0
rtpa_v02_code_confirm1,code,FP16_TARGET3,late,512,511,0.0006278284754056728,0.3214481794077045,1.0099734711044592,0.0003021514428611649,0.007703842600271821,0.0020900019087689353,0.004733962904115248,2.1910278190414878e-08,0
rtpa_v02_code_confirm1,code,ENERGY_TARGET3,primary,1008,1007,0.007557717378100464,7.618179117125268,1.4236467445943424,0.006628463923405548,0.26702173756221015,0.027963748360373037,0.057353253069738944,3.655103511330207e-07,0
rtpa_v02_code_confirm1,code,ENERGY_TARGET3,early,496,496,0.008785046422839901,4.357383025728591,1.8319997677431232,-0.004684434451547537,0.20770216961849855,0.031651398855572555,0.060090364017618914,3.947299301017871e-07,0
rtpa_v02_code_confirm1,code,ENERGY_TARGET3,late,512,511,0.006368742366009135,3.260796091396677,1.0272806007943516,0.017609281132753507,0.26702173756221015,0.02473600207133833,0.046014607145042304,3.655103511330207e-07,0
rtpa_v02_code_confirm1,code,DIAG_TARGET3,primary,1008,1007,0.006318332521208646,6.368879181378315,1.4211598171783253,0.004141536507388466,0.1759873621620569,0.02062060639365329,0.06940705401144523,2.600960456461048e-07,0
rtpa_v02_code_confirm1,code,DIAG_TARGET3,early,496,496,0.006812849372814052,3.37917328891577,1.8320667812046263,-0.004617420990044474,0.1759873621620569,0.01859931347293139,0.06939109381163029,4.085892824763384e-07,0
rtpa_v02_code_confirm1,code,DIAG_TARGET3,late,512,511,0.005839269321215907,2.9897058924625446,1.0223147014111134,0.012643381749515292,0.11112279212431872,0.021623236397736695,0.07162876496468801,2.600960456461048e-07,0
rtpa_v02_code_confirm1,code,JOINT_TARGET3,primary,1008,1007,0.00506606223020182,5.106590728043434,1.418166408080553,0.0011481274096161176,0.09020683914897064,0.017448175353215876,0.04281874913208698,5.914535912781335e-07,0
rtpa_v02_code_confirm1,code,JOINT_TARGET3,early,496,496,0.00550435678171837,2.7301609637323114,1.82761557812252,-0.0090686240721507,0.09020683914897064,0.0163020178461298,0.045647445804618096,7.766556422687625e-07,0
rtpa_v02_code_confirm1,code,JOINT_TARGET3,late,512,511,0.004641464383420162,2.3764297643111227,1.0207362939106592,0.011064974249061166,0.05895179837061374,0.017669300020765034,0.038543727033101334,5.914535912781335e-07,0
rtpa_v02_code_confirm2,code,NATIVE_REFERENCE,primary,1008,1007,0.0,0.0,1.1692176769907854,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_code_confirm2,code,NATIVE_REFERENCE,early,496,496,0.0,0.0,1.4670093306524652,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_code_confirm2,code,NATIVE_REFERENCE,late,512,511,0.0,0.0,0.8801674613035186,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_code_confirm2,code,Q8_TARGET3,primary,1008,1007,0.00814151924381289,8.206651397763393,1.1832643014691715,0.014046624478386116,0.5737169283083968,0.03193520754595254,0.07281769294429596,3.252666957467765e-08,0
rtpa_v02_code_confirm2,code,Q8_TARGET3,early,496,496,0.007580201767907207,3.7597800768819747,1.4757513373167805,0.00874200666431535,0.5737169283083968,0.02259922550077203,0.0736107344023643,3.252666957467765e-08,0
rtpa_v02_code_confirm2,code,Q8_TARGET3,late,512,511,0.00868529554859652,4.446871320881418,0.8993629907442904,0.01919552944077174,0.22754795594959554,0.03931392509589263,0.07017183502016124,8.648756674677803e-07,0
rtpa_v02_code_confirm2,code,FP16_TARGET3,primary,1008,1007,0.0005436249636197368,0.5479739633286946,1.1708121180536084,0.0015944410628230266,0.005675436200609966,0.0020408989256672015,0.003812038910770736,8.372179627159236e-11,0
rtpa_v02_code_confirm2,code,FP16_TARGET3,early,496,496,0.0006271275687764434,0.3110552741131159,1.4690814179002132,0.002072087247747989,0.005675436200609966,0.0022381123858721723,0.0038300275331559974,8.372179627159236e-11,0
rtpa_v02_code_confirm2,code,FP16_TARGET3,late,512,511,0.00046273181487417733,0.23691868921557876,0.8812982771066106,0.0011308158030919335,0.0044592934060191,0.001959238521529802,0.003734957382735658,2.3977492462965834e-09,0
rtpa_v02_code_confirm2,code,ENERGY_TARGET3,primary,1008,1007,0.0054007846967113245,5.443990974285014,1.1765154122543724,0.007297735263587013,0.12736064967939542,0.022252166158420277,0.04644809375867514,3.27728280536601e-08,0
rtpa_v02_code_confirm2,code,ENERGY_TARGET3,early,496,496,0.004696842975763673,2.3296341159787812,1.4704406572553361,0.003431326602870932,0.06670361376810435,0.016597692055427035,0.03278328796096204,3.27728280536601e-08,0
rtpa_v02_code_confirm2,code,ENERGY_TARGET3,late,512,511,0.0060827282388793615,3.114356858306233,0.8912181098659617,0.011050648562443088,0.12736064967939542,0.02861531422278581,0.05190607604456146,2.3602825093269755e-07,0
rtpa_v02_code_confirm2,code,DIAG_TARGET3,primary,1008,1007,0.003537684368754574,3.5659858437046106,1.170306238487362,0.0010885614965765456,0.06702630539306757,0.014295258856762602,0.029318775909852074,2.752733297477239e-08,0
rtpa_v02_code_confirm2,code,DIAG_TARGET3,early,496,496,0.0032358538484739347,1.6049835088430717,1.4680029315583314,0.0009936009058661988,0.03593884575119796,0.012584265670409173,0.01977575047092404,2.752733297477239e-08,0
rtpa_v02_code_confirm2,code,DIAG_TARGET3,late,512,511,0.0038300826852764426,1.9610023348615389,0.8813481958979278,0.0011807345944091496,0.06702630539306757,0.0164077998885402,0.03496989907614332,4.0462095127974003e-07,0
rtpa_v02_code_confirm2,code,JOINT_TARGET3,primary,1008,1007,0.003451191652013352,3.4788011852294587,1.1724718810285644,0.003254204037778985,0.07592220382061397,0.015563674957345532,0.032524662304755286,1.4817530424432043e-08,0
rtpa_v02_code_confirm2,code,JOINT_TARGET3,early,496,496,0.0031261719122703774,1.5505812684861071,1.4704653776974144,0.003456047044949173,0.04263590490521162,0.012395282168224117,0.021680658308036577,1.4817530424432043e-08,0
